Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
O00409	reviewed	FOXN3_HUMAN	Forkhead box protein N3 (Checkpoint suppressor 1)	Homo sapiens (Human)	490	FOXN3	FOXN3 C14orf116 CHES1	6NCE;6NCM;
O00410	reviewed	IPO5_HUMAN	Importin-5, Imp5 (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5, RanBP5)	Homo sapiens (Human)	1097	IPO5	IPO5 KPNB3 RANBP5	6XTE;6XU2;
O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial, MtRPOL, EC 2.7.7.6	Homo sapiens (Human)	1230	POLRMT	POLRMT	3SPA;4BOC;5OLA;6ERP;6ERQ;7A8P;
O00418	reviewed	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase, eEF-2 kinase, eEF-2K, EC 2.7.11.20 (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	Homo sapiens (Human)	725	EEF2K	EEF2K	5J8H;5KS5;6NX4;7SHQ;
O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	Homo sapiens (Human)	153	SAP18	SAP18 GIG38	2HDE;
O00423	reviewed	EMAL1_HUMAN	Echinoderm microtubule-associated protein-like 1, EMAP-1, HuEMAP-1	Homo sapiens (Human)	815	EML1	EML1 EMAP1 EMAPL EMAPL1	4CI8;
O00425	reviewed	IF2B3_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 3, IGF2 mRNA-binding protein 3, IMP-3 (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer, hKOC) (VICKZ family member 3)	Homo sapiens (Human)	579	IGF2BP3	IGF2BP3 IMP3 KOC1 VICKZ3	2E44;6FQ1;6FQR;6GQE;6GX6;
O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein, EC 3.6.5.5 (Dnm1p/Vps1p-like protein, DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less, Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV, HdynIV) (Dynamin-related protein 1)	Homo sapiens (Human)	736	DNM1L	DNM1L DLP1 DRP1	3W6N;3W6O;3W6P;4BEJ;4H1U;4H1V;5WP9;
O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha, PI3K-C2-alpha, PtdIns-3-kinase C2 subunit alpha, EC 2.7.1.137, EC 2.7.1.153, EC 2.7.1.154 (Phosphoinositide 3-kinase-C2-alpha)	Homo sapiens (Human)	1686	PIK3C2A	PIK3C2A	2AR5;2IWL;2REA;2RED;6BTY;6BTZ;6BU0;6BUB;
O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4, EC 2.7.11.21 (Polo-like kinase 4, PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	Homo sapiens (Human)	970	PLK4	PLK4 SAK STK18	2N19;3COK;4JXF;4N7V;4N7Z;4N9J;4YUR;4YYP;5LHY;5LHZ;6N45;6N46;6W38;6W3I;6W3J;
O00445	reviewed	SYT5_HUMAN	Synaptotagmin-5 (Synaptotagmin V, SytV)	Homo sapiens (Human)	386	SYT5	SYT5	5H4Y;5H4Z;
O00451	reviewed	GFRA2_HUMAN	GDNF family receptor alpha-2, GDNF receptor alpha-2, GDNFR-alpha-2, GFR-alpha-2 (GDNF receptor beta, GDNFR-beta) (Neurturin receptor alpha, NRTNR-alpha, NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)	Homo sapiens (Human)	464	GFRA2	GFRA2 GDNFRB RETL2 TRNR2	5MR4;5MR5;6GL7;6Q2O;6Q2R;
O00459	reviewed	P85B_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit beta, PI3-kinase regulatory subunit beta, PI3K regulatory subunit beta, PtdIns-3-kinase regulatory subunit beta (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta, PI3-kinase subunit p85-beta, PtdIns-3-kinase regulatory subunit p85-beta)	Homo sapiens (Human)	728	PIK3R2	PIK3R2	2KT1;2XS6;3MTT;3O5Z;6OX7;6U28;7RNU;
O00463	reviewed	TRAF5_HUMAN	TNF receptor-associated factor 5 (RING finger protein 84)	Homo sapiens (Human)	557	TRAF5	TRAF5 RNF84	7L3L;
O00470	reviewed	MEIS1_HUMAN	Homeobox protein Meis1	Homo sapiens (Human)	390	MEIS1	MEIS1	4XRS;5EGO;
O00472	reviewed	ELL2_HUMAN	RNA polymerase II elongation factor ELL2	Homo sapiens (Human)	640	ELL2	ELL2	2E5N;5JW9;7OKX;7OKY;
O00478	reviewed	BT3A3_HUMAN	Butyrophilin subfamily 3 member A3	Homo sapiens (Human)	584	BTN3A3	BTN3A3 BTF3	4F8T;5ZZ3;6J0G;6J0K;6J0L;
O00481	reviewed	BT3A1_HUMAN	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	Homo sapiens (Human)	513	BTN3A1	BTN3A1 BTF5	4F80;4F9L;4F9P;4JKW;4K55;4N7I;4N7U;4V1P;5HM7;5LYG;5LYK;5ZXK;6ISM;6ITA;6J06;6XLQ;
O00482	reviewed	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor, hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1, LRH-1)	Homo sapiens (Human)	541	NR5A2	NR5A2 B1F CPF FTF	1YOK;1YUC;1ZDU;2A66;3PLZ;3TX7;4DOR;4DOS;4IS8;4ONI;4PLD;4PLE;4RWV;5L0M;5L11;5SYZ;5UNJ;6OQX;6OQY;6OR1;6VC2;6VIF;7JYD;7JYE;
O00483	reviewed	NDUA4_HUMAN	Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ, CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit)	Homo sapiens (Human)	81	NDUFA4	NDUFA4	5Z62;
O00487	reviewed	PSDE_HUMAN	26S proteasome non-ATPase regulatory subunit 14, EC 3.4.19.- (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	Homo sapiens (Human)	310	PSMD14	PSMD14 POH1	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;
O00488	reviewed	ZN593_HUMAN	Zinc finger protein 593 (Zinc finger protein T86)	Homo sapiens (Human)	134	ZNF593	ZNF593 ZT86	1ZR9;6LSS;6LU8;
O00499	reviewed	BIN1_HUMAN	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)	Homo sapiens (Human)	593	BIN1	BIN1 AMPHL	1MUZ;1MV0;1MV3;2FIC;2RMY;2RND;5I22;
O00506	reviewed	STK25_HUMAN	Serine/threonine-protein kinase 25, EC 2.7.11.1 (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1, SOK-1, Ste20/oxidant stress response kinase 1)	Homo sapiens (Human)	426	STK25	STK25 SOK1 YSK1	2XIK;3W8H;4NZW;7Z4V;
O00512	reviewed	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein, B-cell lymphoma 9 protein, Bcl-9 (Protein legless homolog)	Homo sapiens (Human)	1426	BCL9	BCL9	2GL7;2VP7;2VPB;2VPD;2VPE;2VPG;3SL9;
O00522	reviewed	KRIT1_HUMAN	Krev interaction trapped protein 1, Krev interaction trapped 1 (Cerebral cavernous malformations 1 protein)	Homo sapiens (Human)	736	KRIT1	KRIT1 CCM1	3U7D;4DX8;4DXA;4HDO;4HDQ;4JIF;4TKN;5D68;6OQ3;6OQ4;6UZK;
O00541	reviewed	PESC_HUMAN	Pescadillo homolog	Homo sapiens (Human)	588	PES1	PES1	2EP8;
O00548	reviewed	DLL1_HUMAN	Delta-like protein 1 (Drosophila Delta homolog 1, Delta1, H-Delta-1)	Homo sapiens (Human)	723	DLL1	DLL1 UNQ146/PRO172	4XBM;
O00555	reviewed	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I, BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	Homo sapiens (Human)	2506	CACNA1A	CACNA1A CACH4 CACN3 CACNL1A4	3BXK;
O00560	reviewed	SDCB1_HUMAN	Syntenin-1 (Melanoma differentiation-associated protein 9, MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18, TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	Homo sapiens (Human)	298	SDCBP	SDCBP MDA9 SYCL	1N99;1NTE;1OBX;1OBY;1OBZ;1R6J;1V1T;1W9E;1W9O;1W9Q;1YBO;4Z33;6R9H;6RLC;
O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	Homo sapiens (Human)	681	MPHOSPH10	MPHOSPH10 MPP10	7MQ8;7MQ9;7MQA;
O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	Homo sapiens (Human)	594	NOP56	NOP56 NOL5A	7MQ8;7MQ9;7MQA;
O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X, EC 3.6.4.13 (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform, DBX) (Helicase-like protein 2, HLP2)	Homo sapiens (Human)	662	DDX3X	DDX3X DBX DDX3	2I4I;2JGN;3JRV;4O2C;4O2E;4O2F;4PX9;4PXA;5E7I;5E7J;5E7M;6CZ5;6O5F;
O00584	reviewed	RNT2_HUMAN	Ribonuclease T2, EC 4.6.1.19 (Ribonuclease 6)	Homo sapiens (Human)	256	RNASET2	RNASET2 RNASE6PL	3T0O;
O00585	reviewed	CCL21_HUMAN	C-C motif chemokine 21 (6Ckine) (Beta-chemokine exodus-2) (Secondary lymphoid-tissue chemokine, SLC) (Small-inducible cytokine A21)	Homo sapiens (Human)	134	CCL21	CCL21 SCYA21 UNQ784/PRO1600	2L4N;5EKI;
O00602	reviewed	FCN1_HUMAN	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	Homo sapiens (Human)	326	FCN1	FCN1 FCNM	2D39;2JHH;2JHI;2JHK;2JHL;2JHM;2WNP;
O00622	reviewed	CCN1_HUMAN	CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10, IBP-10, IGF-binding protein 10, IGFBP-10) (Protein CYR61) (Protein GIG1)	Homo sapiens (Human)	381	CCN1	CCN1 CYR61 GIG1 IGFBP10	4D0Z;4D11;
O00625	reviewed	PIR_HUMAN	Pirin, EC 1.13.11.24 (Probable quercetin 2,3-dioxygenase PIR, Probable quercetinase)	Homo sapiens (Human)	290	PIR	PIR	1J1L;3ACL;4ERO;4EWA;4EWD;4EWE;4GUL;4HLT;5JCT;6H1H;6H1I;6N0J;6N0K;
O00629	reviewed	IMA3_HUMAN	Importin subunit alpha-3 (Importin alpha Q1, Qip1) (Karyopherin subunit alpha-4)	Homo sapiens (Human)	521	KPNA4	KPNA4 QIP1	4UAE;5TBK;5XZX;6BVV;6BVZ;6BW9;6BWA;6BWB;6WX8;7JJL;7LF4;7LFC;7RFY;7RG5;
O00631	reviewed	SARCO_HUMAN	Sarcolipin	Homo sapiens (Human)	31	SLN	SLN	1JDM;
O00746	reviewed	NDKM_HUMAN	Nucleoside diphosphate kinase, mitochondrial, NDK, NDP kinase, mitochondrial, EC 2.7.4.6 (Nucleoside diphosphate kinase D, NDPKD) (nm23-H4)	Homo sapiens (Human)	187	NME4	NME4 NM23D	1EHW;
O00755	reviewed	WNT7A_HUMAN	Protein Wnt-7a	Homo sapiens (Human)	349	WNT7A	WNT7A	4UZQ;
O00757	reviewed	F16P2_HUMAN	Fructose-1,6-bisphosphatase isozyme 2, FBPase 2, EC 3.1.3.11 (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	Homo sapiens (Human)	339	FBP2	FBP2	3IFA;3IFC;4HE0;4HE1;4HE2;5ET5;5ET6;5ET7;5ET8;5K54;5K55;5K56;5L0A;5Q0C;
O00762	reviewed	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C, EC 2.3.2.23 ((E3-independent) E2 ubiquitin-conjugating enzyme C, EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	Homo sapiens (Human)	179	UBE2C	UBE2C UBCH10	1I7K;4YII;5A31;5KHR;5L9U;
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2, EC 6.4.1.2 (ACC-beta)	Homo sapiens (Human)	2458	ACACB	ACACB ACC2 ACCB	2DN8;2HJW;2KCC;3FF6;3GID;3GLK;3JRW;3JRX;3TDC;4HQ6;5KKN;
O00764	reviewed	PDXK_HUMAN	Pyridoxal kinase, EC 2.7.1.35 (Pyridoxine kinase)	Homo sapiens (Human)	312	PDXK	PDXK C21orf124 C21orf97 PKH PNK PRED79	2AJP;2F7K;2YXT;2YXU;3FHX;3FHY;3KEU;4EN4;4EOH;
O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase, hSCD1, EC 1.14.19.1 (Acyl-CoA desaturase) (Delta(9)-desaturase, Delta-9 desaturase) (Fatty acid desaturase)	Homo sapiens (Human)	359	SCD	SCD FADS5 SCD1 SCDOS	4ZYO;
O14490	reviewed	DLGP1_HUMAN	Disks large-associated protein 1, DAP-1 (Guanylate kinase-associated protein, hGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1, SAPAP1)	Homo sapiens (Human)	977	DLGAP1	DLGAP1 DAP1 GKAP	5YPO;6TNQ;6TQ0;
O14492	reviewed	SH2B2_HUMAN	SH2B adapter protein 2 (Adapter protein with pleckstrin homology and Src homology 2 domains) (SH2 and PH domain-containing adapter protein APS)	Homo sapiens (Human)	632	SH2B2	SH2B2 APS	1Q2H;
O14493	reviewed	CLD4_HUMAN	Claudin-4 (Clostridium perfringens enterotoxin receptor, CPE-R, CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein)	Homo sapiens (Human)	209	CLDN4	CLDN4 CPER CPETR1 WBSCR8	5B2G;7KP4;7TDM;7TDN;
O14497	reviewed	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A, ARID domain-containing protein 1A (B120) (BRG1-associated factor 250, BAF250) (BRG1-associated factor 250a, BAF250A) (Osa homolog 1, hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	Homo sapiens (Human)	2285	ARID1A	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	1RYU;6LTH;6LTJ;
O14508	reviewed	SOCS2_HUMAN	Suppressor of cytokine signaling 2, SOCS-2 (Cytokine-inducible SH2 protein 2, CIS-2) (STAT-induced STAT inhibitor 2, SSI-2)	Homo sapiens (Human)	198	SOCS2	SOCS2 CIS2 SSI2 STATI2	2C9W;4JGH;5BO4;6I4X;6I5J;6I5N;7M6T;
O14519	reviewed	CDKA1_HUMAN	Cyclin-dependent kinase 2-associated protein 1, CDK2-associated protein 1 (Deleted in oral cancer 1, DOC-1) (Putative oral cancer suppressor)	Homo sapiens (Human)	115	CDK2AP1	CDK2AP1 CDKAP1 DOC1	2KW6;
O14520	reviewed	AQP7_HUMAN	Aquaporin-7, AQP-7 (Aquaglyceroporin-7) (Aquaporin adipose, AQPap) (Aquaporin-7-like)	Homo sapiens (Human)	342	AQP7	AQP7 AQP7L AQP9	6KXW;6N1G;6QZI;6QZJ;
O14522	reviewed	PTPRT_HUMAN	Receptor-type tyrosine-protein phosphatase T, R-PTP-T, EC 3.1.3.48 (Receptor-type tyrosine-protein phosphatase rho, RPTP-rho)	Homo sapiens (Human)	1441	PTPRT	PTPRT KIAA0283	2OOQ;
O14523	reviewed	C2C2L_HUMAN	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like, C2CD2-like) (Transmembrane protein 24)	Homo sapiens (Human)	706	C2CD2L	C2CD2L KIAA0285 TMEM24 DLNB23	5TOD;
O14529	reviewed	CUX2_HUMAN	Homeobox protein cut-like 2 (Homeobox protein cux-2)	Homo sapiens (Human)	1486	CUX2	CUX2 CUTL2 KIAA0293	1WH6;1WH8;1X2L;
O14531	reviewed	DPYL4_HUMAN	Dihydropyrimidinase-related protein 4, DRP-4 (Collapsin response mediator protein 3, CRMP-3) (UNC33-like phosphoprotein 4, ULIP-4)	Homo sapiens (Human)	572	DPYSL4	DPYSL4 CRMP3 ULIP4	5NKS;
O14544	reviewed	SOCS6_HUMAN	Suppressor of cytokine signaling 6, SOCS-6 (Cytokine-inducible SH2 protein 4, CIS-4) (Suppressor of cytokine signaling 4, SOCS-4)	Homo sapiens (Human)	535	SOCS6	SOCS6 CIS4 SOCS4	2VIF;
O14556	reviewed	G3PT_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific, EC 1.2.1.12 (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2, GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	Homo sapiens (Human)	408	GAPDHS	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	3H9E;3PFW;5C7L;5C7O;
O14558	reviewed	HSPB6_HUMAN	Heat shock protein beta-6, HspB6 (Heat shock 20 kDa-like protein p20)	Homo sapiens (Human)	160	HSPB6	HSPB6	4JUS;4JUT;5LTW;5LU1;5LU2;5LUM;5OK9;5OKF;
O14561	reviewed	ACPM_HUMAN	Acyl carrier protein, mitochondrial, ACP (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	Homo sapiens (Human)	156	NDUFAB1	NDUFAB1	2DNW;5OOL;5OOM;5XTB;5XTC;5XTD;5XTH;5XTI;6ODD;7A5H;7A5J;7O9K;7O9M;7ODR;7ODS;7ODT;7OF0;7OF2;7OF3;7OF5;7OF7;7OI6;7OI7;7OI8;7OI9;7OIC;7OID;7OIE;7PD3;7QH6;
O14579	reviewed	COPE_HUMAN	Coatomer subunit epsilon (Epsilon-coat protein, Epsilon-COP)	Homo sapiens (Human)	308	COPE	COPE	6TZT;6U3V;
O14593	reviewed	RFXK_HUMAN	DNA-binding protein RFXANK (Ankyrin repeat family A protein 1) (Regulatory factor X subunit B, RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	Homo sapiens (Human)	260	RFXANK	RFXANK ANKRA1 RFXB	3UXG;3V30;6MEW;
O14595	reviewed	CTDS2_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2, EC 3.1.3.16 (Nuclear LIM interactor-interacting factor 2, NLI-interacting factor 2) (Protein OS-4) (Small C-terminal domain phosphatase 2) (Small CTD phosphatase 2, SCP2)	Homo sapiens (Human)	271	CTDSP2	CTDSP2 NIF2 OS4 SCP2	2Q5E;
O14607	reviewed	UTY_HUMAN	Histone demethylase UTY, EC 1.14.11.68 (Ubiquitously-transcribed TPR protein on the Y chromosome) (Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase UTY)	Homo sapiens (Human)	1347	UTY	UTY KDM6C	3ZLI;3ZPO;4UF0;5A1L;5FXV;5FXW;5FXX;5FXZ;5FY0;5FY1;5FY7;5FYM;
O14617	reviewed	AP3D1_HUMAN	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	Homo sapiens (Human)	1153	AP3D1	AP3D1 PRO0039	4AFI;
O14618	reviewed	CCS_HUMAN	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	Homo sapiens (Human)	274	CCS	CCS	1DO5;2CRL;2RSQ;6FN8;6FOL;6FON;6FP6;
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9, IP-9) (Interferon-inducible T-cell alpha chemoattractant, I-TAC) (Small-inducible cytokine B11)	Homo sapiens (Human)	94	CXCL11	CXCL11 ITAC SCYB11 SCYB9B	1RJT;
O14638	reviewed	ENPP3_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3, E-NPP 3, NPP3 (Phosphodiesterase I beta, PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I, EC 3.1.4.1; Nucleotide pyrophosphatase, NPPase, EC 3.6.1.9 (Nucleotide diphosphatase) ]	Homo sapiens (Human)	875	ENPP3	ENPP3 PDNP3	6C01;6C02;
O14640	reviewed	DVL1_HUMAN	Segment polarity protein dishevelled homolog DVL-1, Dishevelled-1 (DSH homolog 1)	Homo sapiens (Human)	695	DVL1	DVL1	6LCA;6LCB;6TTK;
O14641	reviewed	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2, Dishevelled-2 (DSH homolog 2)	Homo sapiens (Human)	736	DVL2	DVL2	2REY;3CBX;3CBY;3CBZ;3CC0;4WIP;5LNP;5SUY;5SUZ;6IW3;6JCK;
O14646	reviewed	CHD1_HUMAN	Chromodomain-helicase-DNA-binding protein 1, CHD-1, EC 3.6.4.12 (ATP-dependent helicase CHD1)	Homo sapiens (Human)	1710	CHD1	CHD1	2B2T;2B2U;2B2V;2B2W;2B2Y;2N39;4B4C;4NW2;4O42;5AFW;
O14649	reviewed	KCNK3_HUMAN	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1, Two pore K(+) channel KT3.1)	Homo sapiens (Human)	394	KCNK3	KCNK3 TASK TASK1	6RV2;6RV3;6RV4;
O14653	reviewed	GOSR2_HUMAN	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	Homo sapiens (Human)	212	GOSR2	GOSR2 GS27	3EG9;
O14656	reviewed	TOR1A_HUMAN	Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A, EC 3.6.4.-) (Torsin family 1 member A)	Homo sapiens (Human)	332	TOR1A	TOR1A DQ2 DYT1 TA TORA	5J1S;5J1T;6OIF;
O14672	reviewed	ADA10_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10, ADAM 10, EC 3.4.24.81 (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	Homo sapiens (Human)	748	ADAM10	ADAM10 KUZ MADM	6BDZ;6BE6;
O14678	reviewed	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4, EC 7.6.2.8 (ATP-binding cassette sub-family D member 4) (PMP70-related protein, P70R) (Peroxisomal membrane protein 1-like, PXMP1-L) (Peroxisomal membrane protein 69, PMP69)	Homo sapiens (Human)	606	ABCD4	ABCD4 PXMP1L	6JBJ;
O14684	reviewed	PTGES_HUMAN	Prostaglandin E synthase, EC 5.3.99.3 (Glutathione peroxidase PTGES, EC 1.11.1.-) (Glutathione transferase PTGES, EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1, MGST1-L1) (Microsomal prostaglandin E synthase 1, MPGES-1) (p53-induced gene 12 protein)	Homo sapiens (Human)	152	PTGES	PTGES MGST1L1 MPGES1 PGES PIG12	3DWW;4AL0;4AL1;4BPM;4WAB;4YK5;4YL0;4YL1;4YL3;5BQG;5BQH;5BQI;5K0I;5T36;5T37;5TL9;6VL4;
O14686	reviewed	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D, Lysine N-methyltransferase 2D, EC 2.1.1.364 (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	Homo sapiens (Human)	5537	KMT2D	KMT2D ALR MLL2 MLL4	3UVK;4ERQ;4Z4P;6O7G;
O14713	reviewed	ITBP1_HUMAN	Integrin beta-1-binding protein 1 (Integrin cytoplasmic domain-associated protein 1, ICAP-1)	Homo sapiens (Human)	200	ITGB1BP1	ITGB1BP1 ICAP1	4DX8;4DX9;4JIF;
O14717	reviewed	TRDMT_HUMAN	tRNA (cytosine(38)-C(5))-methyltransferase, EC 2.1.1.204 (DNA (cytosine-5)-methyltransferase-like protein 2, Dnmt2) (DNA methyltransferase homolog HsaIIP, DNA MTase homolog HsaIIP, M.HsaIIP) (PuMet)	Homo sapiens (Human)	391	TRDMT1	TRDMT1 DNMT2	1G55;
O14727	reviewed	APAF_HUMAN	Apoptotic protease-activating factor 1, APAF-1	Homo sapiens (Human)	1248	APAF1	APAF1 KIAA0413	1C15;1CWW;1CY5;1Z6T;2P1H;2YGS;3J2T;3JBT;3YGS;4RHW;5JUY;5WVC;5WVE;
O14732	reviewed	IMPA2_HUMAN	Inositol monophosphatase 2, IMP 2, IMPase 2, EC 3.1.3.25 (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	Homo sapiens (Human)	288	IMPA2	IMPA2 IMP.18P	2CZH;2CZI;2CZK;2DDK;2FVZ;
O14733	reviewed	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7, MAP kinase kinase 7, MAPKK 7, EC 2.7.12.2 (JNK-activating kinase 2) (MAPK/ERK kinase 7, MEK 7) (Stress-activated protein kinase kinase 4, SAPK kinase 4, SAPKK-4, SAPKK4) (c-Jun N-terminal kinase kinase 2, JNK kinase 2, JNKK 2)	Homo sapiens (Human)	419	MAP2K7	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4	2DYL;3WZU;4UX9;5B2K;5B2L;5B2M;5Y8U;5Y90;5Z1D;5Z1E;6IB0;6IB2;6QFL;6QFR;6QFT;6QG4;6QG7;6QHO;6QHR;6YFZ;6YG0;6YG1;6YG2;6YG3;6YG4;6YG5;6YG6;6YG7;6YZ4;7CBX;
O14737	reviewed	PDCD5_HUMAN	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19, Protein TFAR19)	Homo sapiens (Human)	125	PDCD5	PDCD5 TFAR19	1YYB;2CRU;2K6B;
O14744	reviewed	ANM5_HUMAN	Protein arginine N-methyltransferase 5, PRMT5, EC 2.1.1.320 (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog, SKB1 homolog, SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed ]	Homo sapiens (Human)	637	PRMT5	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	4GQB;4X60;4X61;4X63;5C9Z;5EMJ;5EMK;5EML;5EMM;5FA5;6CKC;6K1S;6RLL;6RLQ;6UGH;6UXX;6UXY;6V0N;6V0O;6V0P;7BO7;7BOC;7KIB;7KIC;7KID;7L1G;7M05;7MX7;7MXA;7MXC;7MXG;7MXN;7S0U;7S1P;7S1Q;7S1R;7S1S;7SER;7SES;
